Test ID:	Date Tested:	Time:	Test Type:	Diameter Avg. (mm):	Cyl. Corr. Factor:	Height (mm):	Age (days):	Weight (kN):	Break Type:	Ramp Rate (MPa/s):	Load at Break (kN):	Stress at Break (MPa):
12	6/6/2021	2:06	Cylinder	150	1	300	0	13.39	Invalid/No Break	0.25	1625.29	91.97
Column1	Sample Time	Load (kN)	Stress (MPa)	Long. Strain	Trans. Strain	Chan1 Deflection (mm)	Chan2 Deflection (mm)					
3.00	00:42.3	184.5166802	10.43866252	0	0.000885	0	0					
4.00	00:42.4	184.5166802	10.43866252	0	0.000885	0	0					
5.00	00:42.5	185.4508067	10.49382058	0	0.000885	0	0					
6.00	00:42.6	185.9223182	10.52139961	0	0.000885	0	0					
7.00	00:42.7	185.9223182	10.52139961	0	0.000885	0	0					
8.00	00:42.8	186.0957989	10.52829437	0	0.000885	0	0					
9.00	00:42.9	187.3279562	10.6041367	0	0.000885	0	0					
10.00	00:42.9	187.9151215	10.63171573	0	0.000885	0	0					
1.00	00:43.0	187.9151215	10.63171573	0	0.000885	0	0					
2.00	00:43.1	188.5022867	10.66618951	0	0.000885	0	0					
3.00	00:43.3	189.3252077	10.71445281	0	0.000885	0	0					
4.00	00:43.3	189.6766172	10.73513708	0	0.000885	0	0					
5.00	00:43.4	189.6766172	10.73513708	0	0.000885	0	0					
6.00	00:43.5	190.6730189	10.79029514	0	0.000885	0	0					
7.00	00:43.6	191.2601841	10.82476893	0	0.000885	0	0					
8.00	00:43.7	191.6115936	10.8454532	0	0.000885	0	0					
9.00	00:43.8	191.6115936	10.8454532	0	0.000885	0	0					
10.00	00:43.9	192.5501684	10.8937165	0	0.000885	0	0					
1.00	00:44.0	192.6079953	10.90061126	0	0.000885	0	0					
2.00	00:44.1	193.6622238	10.95576932	0	0.000885	0	0					
3.00	00:44.2	193.6622238	10.95576932	0	0.000885	0	0					
4.00	00:44.3	193.7244989	10.96266408	0	0.000885	0	0					
5.00	00:44.4	194.4851448	11.00403262	0	0.000885	0	0					
6.00	00:44.5	194.4851448	11.00403262	0	0.000885	0	0					
7.00	00:44.6	195.07231	11.03850641	0	0.000885	0	0					
8.00	00:44.7	195.2457907	11.04540116	0	0.000885	0	0					
9.00	00:44.8	196.4201212	11.11434874	0	0.000885	0	0					
10.00	00:44.9	196.4201212	11.11434874	0	0.000885	0	0					
1.00	00:45.0	196.6558769	11.12813825	0	0.000885	0	0					
2.00	00:45.1	197.7101055	11.19019107	0	0.000885	0	0					
3.00	00:45.2	198.4751996	11.23155961	0	0.000885	0	0					
4.00	00:45.3	198.4751996	11.23155961	0	0.000885	0	0					
5.00	00:45.5	198.764334	11.24534912	0	0.000885	0	0					
6.00	00:45.6	199.8808376	11.3142967	0	0.000885	0	0					
7.00	00:45.7	199.9386645	11.3142967	0	0.000885	0	0					
8.00	00:45.7	199.9386645	11.3142967	0	0.000885	0	0					
9.00	00:45.9	200.9350661	11.36945475	0	0.000885	0	0					
10.00	00:45.9	201.112995	11.38324427	0	0.000885	0	0					
1.00	00:46.0	201.7579871	11.41771806	0	0.000885	0	0					
2.00	00:46.1	201.7579871	11.41771806	0	0.000885	0	0					
3.00	00:46.2	202.3451524	11.45219184	0	0.000885	0	0					
4.00	00:46.3	202.518633	11.4590866	0	0.000885	0	0					
5.00	00:46.4	203.9287193	11.54182369	0	0.000885	0	0					
6.00	00:46.5	203.9287193	11.54182369	0	0.000885	0	0					
7.00	00:46.6	204.3957825	11.56940272	0	0.000885	0	0					
8.00	00:46.7	204.6893651	11.58319223	0	0.000885	0	0					
9.00	00:46.8	204.6893651	11.58319223	0	0.000885	0	0					
10.00	00:46.9	205.8058688	11.64524505	0	0.000885	0	0					
1.00	00:47.0	206.0371763	11.65903456	0	0.000885	0	0					
2.00	00:47.1	206.6821684	11.69350835	0	0.000885	0	0					
3.00	00:47.2	206.6821684	11.69350835	0	0.000885	0	0					
4.00	00:47.3	206.9179242	11.70729786	0	0.000885	0	0					
5.00	00:47.4	207.798672	11.75556116	0	0.000885	0	0					
6.00	00:47.5	208.3858373	11.79003495	0	0.000885	0	0					
7.00	00:47.6	208.3858373	11.79003495	0	0.000885	0	0					
